,customer_id,date,revenue
0,1,2025-04-13,511.3517345251248
1,2,2025-12-15,566.2130674521047
2,3,2025-09-28,451.35672339476395
3,3,2025-10-28,520.759826128572
4,3,2025-11-27,588.4990467186666
5,4,2025-04-17,453.5470251355032
6,5,2025-03-13,536.2013911942471
7,5,2025-04-12,558.1314134035724
8,6,2025-07-08,554.7097381170038
9,6,2025-08-07,479.78073475661057
10,6,2025-09-06,478.23187967727796
11,7,2025-01-21,609.8776851987191
12,7,2025-02-20,320.7954899864785
13,7,2025-05-21,455.32264882100924
14,7,2025-07-20,620.4922921778574
15,7,2025-08-19,380.3339530786478
16,8,2025-04-13,417.77796044335685
17,8,2025-05-13,524.3687211491913
18,8,2025-10-10,524.4966571108723
19,8,2025-11-09,449.30568246288703
20,9,2025-05-02,615.4354338408924
21,9,2025-06-01,452.2618269424679
22,9,2025-07-31,433.57725566955776
23,10,2025-08-03,636.0111366248171
24,10,2025-10-02,431.76573988798464
25,10,2025-12-01,495.1804514464187
26,11,2025-11-27,549.2686483800405
27,11,2025-12-27,508.8873006131744
28,12,2025-03-29,547.3627387727564
29,12,2025-04-28,505.43505779385714
30,12,2025-06-27,727.5761297567203
31,12,2025-10-25,540.6226685049928
32,13,2025-04-10,424.0867338446302
33,13,2025-05-10,515.0393786476208
34,13,2025-06-09,534.175597577716
35,13,2025-07-09,687.6170839215886
36,13,2025-08-08,595.042383818605
37,13,2025-09-07,442.3096344337597
38,14,2025-12-26,617.9440120721287
39,15,2025-06-01,453.08243478952954
40,15,2025-08-30,500.5243699718183
41,15,2025-11-28,504.6980593764742
42,15,2025-12-28,454.9934528520756
43,16,2025-05-11,562.2849932347499
44,16,2025-06-10,617.9297184063827
45,16,2025-09-08,506.7518481410109
46,16,2025-10-08,706.0747924881987
47,17,2025-05-30,675.5340842443204
48,17,2025-09-27,326.91268962344327
49,17,2025-10-27,644.4338791981811
50,18,2025-11-05,498.5281741365063
51,18,2025-12-05,579.6405429696326
52,19,2025-09-15,536.6598246096848
53,19,2025-10-15,406.0120213672645
54,19,2025-11-14,448.61330826633065
55,19,2025-12-14,394.0786478111048
56,20,2025-12-10,418.45009267115114
57,21,2025-10-21,444.0974506766143
58,21,2025-11-20,505.7474003024297
59,22,2025-07-11,271.7197509959202
60,22,2025-08-10,585.135426460051
61,23,2025-10-04,437.9636277464448
62,23,2025-11-03,437.3475817311456
63,23,2025-12-03,280.7869943758021
64,24,2025-06-10,652.3787410193809
65,24,2025-11-07,254.32529431365208
66,25,2025-11-10,435.34271157574733
67,25,2025-12-10,391.84519963856053
68,26,2025-01-22,360.1432426180859
69,26,2025-02-21,556.296923669057
70,26,2025-03-23,434.9357430878173
71,26,2025-04-22,451.2874616235304
72,27,2025-09-10,539.0253268983142
73,27,2025-10-10,491.50911675041675
74,27,2025-11-09,523.7324384759743
75,28,2025-08-24,527.3577403138628
76,28,2025-09-23,433.7376241054153
77,29,2025-12-11,557.0598668593159
78,30,2025-02-18,439.80313211036156
79,30,2025-03-20,576.0251094635361
80,30,2025-04-19,610.6329104828443
81,30,2025-05-19,577.1638149301336
82,31,2025-02-28,533.7602662075202
83,31,2025-05-29,458.8123033877533
84,31,2025-09-26,451.23937759275066
85,31,2025-10-26,456.7441812180379
86,32,2025-06-19,605.1593040671667
87,32,2025-08-18,415.64550377545294
88,32,2025-09-17,341.9748063256473
89,32,2025-10-17,501.6053418643931
90,33,2025-07-07,596.592200795959
91,33,2025-08-06,508.20548711527977
92,33,2025-09-05,451.2604976078852
93,33,2025-10-05,540.3820558679306
94,33,2025-11-04,390.860956270653
95,33,2025-12-04,418.2998560739106
96,34,2025-09-28,628.6974963849594
97,34,2025-12-27,455.53624417543597
98,35,2025-07-09,394.16145971529477
99,35,2025-08-08,448.70856250285846
100,36,2025-06-24,548.1009231736713
101,36,2025-07-24,522.3884024279131
102,36,2025-09-22,420.9525544554688
103,36,2025-10-22,547.1468357135996
104,36,2025-11-21,688.2024496475034
105,36,2025-12-21,634.5420046154977
106,37,2025-02-20,585.2246489030268
107,37,2025-04-21,267.92626260218697
108,37,2025-10-18,477.0120428553613
109,37,2025-11-17,562.814001348067
